cell_id,standard_amp1,Lifetime fit_standard: t1,standard_offset,standard_reduced_chi_square,standard_amp2,Lifetime fit_standard: t2,Lifetime fit_standard: a1,Lifetime fit_standard: tm,Lifetime fit free_standard: G(1st),Lifetime fit free_standard: S(1st),Lifetime fit free_standard: Tau_phase,Lifetime fit free_standard: Tau_m,Lifetime fit free_standard: G(2nd),Lifetime fit free_standard: S(2nd),Intensity texture_standard: intensity_sum,image_name
Tcell_Qui_filtered_99,1317.4075233243623,501.4648719574992,39.924316843930185,1.4689055798148303,898.8316451026074,4488.604408048988,59.443382379142086,2118.5138076201724,0.45505148737879203,0.43104306397126296,3.0151592168908414,3.9570046389230655,0.25885191885861936,0.3273249371219707,55446,Tcell_Qui_filtered
Tcell_Qui_filtered_100,1346.8529703550162,545.5793908332937,38.6861412096415,1.435088397949621,871.8091664373048,4650.904210689014,60.70563642926986,2158.740651306823,0.4552179082363297,0.43024628966999257,3.008485497120516,3.9614439678688536,0.26599853233237974,0.3256680215319184,56041,Tcell_Qui_filtered
Tcell_Qui_filtered_101,2718.7395854810625,552.1236511485921,49.02269534939044,1.291617204894613,1266.5554569407284,4537.6927468949,68.21928004178417,1818.7662042089214,0.49890850840719203,0.4120355411998497,2.6288384345603615,3.7507143241255805,0.31152766501688134,0.3259945322370502,83397,Tcell_Qui_filtered
Tcell_Qui_filtered_102,1629.6295610790485,480.32675721378973,42.21989570593412,1.4035903119087758,983.8686453722667,4498.477934125004,62.35434013523994,1992.9862821256388,0.4650346527081417,0.43009276922232575,2.9439264283290045,3.888455214068929,0.27043947380781586,0.3183694340008392,61179,Tcell_Qui_filtered
Tcell_Qui_filtered_103,1779.5560059352565,520.9239322741737,39.73257540779222,1.5921727693246095,1023.4256432229563,4381.7402227519415,63.48796491299507,1930.5865308982184,0.48853810570045275,0.4287556330996892,2.793582633169299,3.72144827836778,0.29350569088847706,0.3272149672677882,62868,Tcell_Qui_filtered
Tcell_Qui_filtered_104,2025.4736236041813,488.1496918856644,41.263991359585305,1.4157563530154817,1043.1959146118782,4399.575897108339,66.00494443535521,1817.8412037211895,0.48685702676621934,0.420191626085791,2.7472366900637373,3.79022602667799,0.2972677553415143,0.3209308171561481,64957,Tcell_Qui_filtered
Tcell_Qui_filtered_105,1294.743713694045,546.7412358553617,39.96402862603796,1.582786231248825,879.0176791029779,4598.722401117473,59.562365859671104,2185.2665548990904,0.4560640885434713,0.4314516442213796,3.0113163306614115,3.946448940073517,0.2619500981023278,0.32391312466848643,55915,Tcell_Qui_filtered
Tcell_Qui_filtered_106,1971.5903382869626,523.4303299424594,43.23252881289281,1.6707232966702867,1069.7181288733846,4470.86452256293,64.82704268823561,1911.8596734228483,0.4813546862582499,0.42074761266524957,2.782316834612138,3.8284589455153366,0.2923033216608378,0.32457087556309183,67621,Tcell_Qui_filtered
Tcell_Qui_filtered_107,1276.0957100210094,524.0235377855374,39.205549314247364,1.4658217292902223,900.0319385072869,4530.87642755321,58.64066434172768,2181.2312737977345,0.451242947900727,0.43361510940095793,3.0587508738498004,3.967207087753791,0.25921363594968627,0.3227394375856589,55764,Tcell_Qui_filtered
Tcell_Qui_filtered_108,852.5002177075213,505.14526085963917,28.463058920657748,1.1736903669146517,601.3921401869056,4500.872289361011,58.63571763607997,2157.9490714204185,0.4561686417410766,0.4375991667570885,3.053522934696448,3.901874010392405,0.26342649218704584,0.322890033050754,37387,Tcell_Qui_filtered
Tcell_Qui_filtered_109,1915.3408935809487,504.3914193390476,37.452263675566286,1.4737277020865478,961.188777015473,4647.145288343447,66.58512558237652,1888.6874220981063,0.4772011161807899,0.4196745367466306,2.7993763949086232,3.867408100906112,0.2902296769629588,0.31764132990790434,62497,Tcell_Qui_filtered
Tcell_Qui_filtered_110,3962.878973782408,526.661251855677,61.78801781849407,1.7676573889712321,1681.269795707842,4391.524230510712,70.21216370489672,1677.9203089674913,0.5169966357291003,0.4088461978904024,2.517226955135568,3.6318166742749534,0.3255344082325377,0.3229728606309843,108912,Tcell_Qui_filtered
Tcell_Qui_filtered_111,2282.91067983948,564.980007815802,41.48497381936109,1.6496302658806028,1171.0952946813045,4515.961673836242,66.09457819933897,1904.5770069468165,0.4912159078455218,0.41799817311281867,2.708644992629522,3.7713426708891498,0.30039410557921503,0.3263057592056103,75008,Tcell_Qui_filtered
Tcell_Qui_filtered_112,2144.6274348259353,464.1702607532537,41.47012970142808,1.58965498909702,976.132810658517,4347.333955738458,68.7213135943102,1678.7728555272724,0.5019626328530441,0.4129316755465077,2.6185262814846153,3.7216146863716695,0.3114414996545732,0.32185824300058385,61714,Tcell_Qui_filtered
Tcell_Qui_filtered_113,3252.9887751892575,519.2402572594785,45.11216333332993,1.3754846549494253,1317.7571131329646,4359.311403469806,71.16975773035871,1626.3420720385068,0.5311430410398708,0.4102638565660686,2.4586793273841536,3.5159973699867018,0.3409193308777442,0.3237639143360195,84916,Tcell_Qui_filtered
Tcell_Qui_filtered_114,1521.6684339563037,456.7976580660876,41.508989044394745,1.659307165386055,919.4276116079191,4407.142303887447,62.335459381918454,1944.6768217456831,0.46687451264551183,0.4262453075939755,2.9060934292129748,3.9012722264958044,0.2764420731670075,0.3233696158990908,56445,Tcell_Qui_filtered
Tcell_Qui_filtered_115,1489.8500414829775,475.46028373103394,40.40443262789409,1.507142782428098,905.1029607805709,4431.315975205026,62.207903039219204,1970.4611022814506,0.46427630763475886,0.4254317962141329,2.916779176645367,3.9266898754558186,0.2757210919754767,0.3226842179522083,55912,Tcell_Qui_filtered
Tcell_Qui_filtered_116,1545.9244384475603,455.46840483220495,39.196751556687104,1.545924987431787,920.628530740125,4472.062719701352,62.67550130726293,1954.6420973780912,0.4681349819982042,0.430523794099103,2.9273603804217507,3.8621644041300884,0.2717585759881178,0.3213551180046949,56690,Tcell_Qui_filtered
Tcell_Qui_filtered_117,1511.3732698838983,526.7267883735574,37.7157172283274,1.4406423818820575,880.1907664164123,4666.106348152267,63.19601929714393,2050.183242772483,0.46342485858089777,0.4264396603197836,2.929060822423475,3.9261264350232703,0.2754161976256947,0.32223991546576214,57054,Tcell_Qui_filtered
Tcell_Qui_filtered_118,1577.62577343336,435.1898276857956,41.52391240637396,1.502796750531224,930.9145087328999,4413.656204735504,62.890190946863925,1911.5911034521625,0.4663737071328872,0.4287581970944115,2.9263650765501183,3.887637911355043,0.2689630567791015,0.3192709749323191,56954,Tcell_Qui_filtered
Tcell_Qui_filtered_119,1579.4722756726662,488.99862650933363,38.690858589285355,1.39990780406443,900.6115533878593,4622.249003483249,63.68624548755605,1989.9370217883054,0.46346593905272854,0.42929679378303265,2.948424081550398,3.905832479927372,0.2762138794366442,0.32076343802567936,57635,Tcell_Qui_filtered
Tcell_Qui_filtered_120,1374.0205524967284,494.9031275119323,43.65013662164503,1.6914161804377301,925.8055281652378,4439.72998203225,59.74454173079208,2082.911255725866,0.46503144271324964,0.43469969960871213,2.9754807782298536,3.8564224901224735,0.2722985996861106,0.3301759139697987,57203,Tcell_Qui_filtered
Tcell_Qui_filtered_121,1427.2638272387276,497.85309725859673,43.758402929250096,1.54504507547,953.078306657239,4480.204823338363,59.96044883273517,2092.3688542827585,0.4568072635059034,0.43157005914990787,3.007242383889189,3.9400059776133234,0.26047905091870743,0.32174786091123364,59120,Tcell_Qui_filtered
Tcell_Qui_filtered_122,1692.369844019722,535.9800041841734,42.25094037697954,1.4640617512258045,961.3687146018353,4550.463464666343,63.77304344926868,1990.3051831493442,0.47954084051329504,0.4260087112366231,2.827762995991857,3.8070597830976007,0.28465014819601225,0.32850540994647653,61909,Tcell_Qui_filtered
Tcell_Qui_filtered_123,1456.2486746927368,520.0576099713675,40.938000208654934,1.1023065799872291,918.6162151237323,4671.408769531136,61.31922202973309,2125.8325347667824,0.45608604774053213,0.43301207611522263,3.0220618531803067,3.9351598087984456,0.2686778889270402,0.3212456954710717,59107,Tcell_Qui_filtered
Tcell_Qui_filtered_124,1372.2420823053908,505.7192803693283,37.802700721115656,1.2282511748962643,928.4647928595001,4599.527269663739,59.6443683077638,2157.801354716322,0.44667023234307907,0.4331116905369291,3.0864768443711403,4.0052840593174,0.25828861205639236,0.3214072552537394,57652,Tcell_Qui_filtered
Tcell_Qui_filtered_125,1541.7717835471433,543.9587734675198,43.744659169127615,1.3293176915993257,981.6806984542537,4665.153278245661,61.0977141255434,2147.1976411587075,0.4578348819546903,0.4323459013837837,3.005886621699571,3.9267632708638924,0.26677677741656325,0.3223298319564526,63393,Tcell_Qui_filtered
Tcell_Qui_filtered_126,1401.4897474286267,485.90096196656367,39.7671965040576,1.4817345009338072,931.656368336944,4538.907772703923,60.06866599388948,2104.320648852506,0.4491815759833094,0.4334825760769304,3.0718488208615047,3.983665601401628,0.26168212314516454,0.319560237769988,57560,Tcell_Qui_filtered
Tcell_Qui_filtered_127,1414.09572576526,503.34090205194684,42.390142948176354,1.6390952500252594,919.8388562386959,4506.055995286416,60.58849021171336,2080.871352819276,0.4593820080424389,0.4317605546967552,2.9917073507040364,3.919280289663488,0.26499330156644946,0.32170048386987043,57587,Tcell_Qui_filtered
