cell_id,NAD(P)H_amp1,Lifetime fit_NAD(P)H: t1,NAD(P)H_offset,NAD(P)H_amp2,Lifetime fit_NAD(P)H: t2,Lifetime fit_NAD(P)H: a1,Lifetime fit_NAD(P)H: tm,Lifetime fit free_NAD(P)H: G(1st),Lifetime fit free_NAD(P)H: S(1st),Lifetime fit free_NAD(P)H: Tau_phase,Lifetime fit free_NAD(P)H: Tau_m,Lifetime fit free_NAD(P)H: G(2nd),Lifetime fit free_NAD(P)H: S(2nd),Intensity texture_NAD(P)H: intensity_sum,image_name
Tcell_Qui_filtered_139,1807.3931713041586,400.0,44.861056860578955,1086.339663478434,4266.827749209015,62.45888181449719,1851.650375360375,0.3349549515666975,0.35192170143905743,2.0902093738037792,3.5790535134232297,0.1910261661623107,0.2510560981890729,63464,Tcell_Qui_filtered
Tcell_Qui_filtered_140,1813.4395176466633,400.0,47.3119050756754,1084.165603050782,4246.296718863405,62.584080373593956,1839.1272889230243,0.33780825284971694,0.35189991984699714,2.072426119138044,3.5602578742014264,0.19271517805366084,0.25466190420198287,63681,Tcell_Qui_filtered
Tcell_Qui_filtered_141,1990.005947474453,400.0,47.35977967723626,1119.282180375172,4248.5520758051325,64.00197941291262,1785.4025685531105,0.33928720813374114,0.3498518185944158,2.0513831992540807,3.5645420922370885,0.20061675213893768,0.2539072736784896,66003,Tcell_Qui_filtered
Tcell_Qui_filtered_142,3491.683770050842,400.0,49.03602341477242,1171.210601477475,4223.670261268717,74.88232612282837,1360.4170263638732,0.40081414584689146,0.3379370894211983,1.677347181753936,3.2314127514790107,0.26296777240834707,0.2485514249466073,75060,Tcell_Qui_filtered
Tcell_Qui_filtered_143,2656.5652431546414,400.0,54.99189887531175,1276.5299175607186,4112.640036117422,67.54388425912022,1604.9787471645109,0.3714653054144475,0.35275312350119337,1.8892209608136254,3.3352996259711705,0.2211294474341,0.2566301080252682,75594,Tcell_Qui_filtered
Tcell_Qui_filtered_144,2152.5377608463355,400.0,51.36570057978629,1015.2705589843666,4188.37016715238,67.95037904823022,1614.158278822265,0.3609215673175648,0.34885216878554115,1.9229090229767014,3.4278689128968245,0.22126376704444659,0.24730363427762467,62550,Tcell_Qui_filtered
Tcell_Qui_filtered_145,2522.8427675712474,400.0,49.00623659476189,1139.2667147558059,4189.462609929397,68.89042448747684,1578.8857321548173,0.3701614703476583,0.34782160766172254,1.8693709572724038,3.3738280298385237,0.2291694740278096,0.2535487464563131,68960,Tcell_Qui_filtered
Tcell_Qui_filtered_146,1927.424804593413,400.0,40.680485138056,932.5506372710735,4409.84849315194,67.39305437311303,1707.4891178825994,0.3467259049738096,0.34422504288612144,1.975087393437049,3.5527955767069392,0.21709230837059615,0.24632147805310967,57852,Tcell_Qui_filtered
Tcell_Qui_filtered_147,842.5748517355545,400.0,22.99183026793772,485.35734337955864,4383.208583549937,63.45014111676952,1855.8571163122256,0.3219167500191684,0.3542240436643415,2.189094987594712,3.6493069394254904,0.19081375768253608,0.2376388496138627,29628,Tcell_Qui_filtered
Tcell_Qui_filtered_148,1677.560158250262,400.0,42.19189350834762,919.1347743924256,4353.617075939225,64.60366742207138,1799.4354490572255,0.34260040074596265,0.34775880646574886,2.0193909921095563,3.5566954254262977,0.19793899991369954,0.2495881805046057,55956,Tcell_Qui_filtered
Tcell_Qui_filtered_149,1586.3086094439172,400.0,42.390404243808355,919.9265263729027,4356.361632445876,63.294484494844305,1852.202932437452,0.3283658708225262,0.3470562314367178,2.1026741689703514,3.657932931825988,0.19809584262983762,0.25256974717161124,55641,Tcell_Qui_filtered
Tcell_Qui_filtered_150,1539.584419684973,400.0,37.62214171798561,814.0248036739176,4356.983531734356,65.41376556503276,1768.5716008386905,0.3381834383480367,0.34681588401005936,2.04021900631118,3.592946583935465,0.1994144023981418,0.24553863802571246,49877,Tcell_Qui_filtered
Tcell_Qui_filtered_151,1595.1115288012302,400.0,40.637999502934896,920.6528510356158,4359.886463402576,63.4046471754512,1849.1344227337202,0.3341330711140427,0.352916716281174,2.101275088867887,3.5775515586644864,0.189641246598156,0.2510914453093246,55392,Tcell_Qui_filtered
Tcell_Qui_filtered_152,1583.9246126618082,400.0,43.28418186289041,933.2546279852602,4325.629597345127,62.9245858651942,1855.4434306142148,0.3277053543951087,0.35149911153721664,2.1338841562727486,3.6304270229329827,0.18742255306026018,0.24959479957844546,56122,Tcell_Qui_filtered
