cell_id,standard_amp1,Lifetime fit_standard: t1,standard_offset,standard_reduced_chi_square,standard_amp2,Lifetime fit_standard: t2,Lifetime fit_standard: a1,Lifetime fit_standard: tm,Lifetime fit free_standard: G(1st),Lifetime fit free_standard: S(1st),Lifetime fit free_standard: Tau_phase,Lifetime fit free_standard: Tau_m,Lifetime fit free_standard: G(2nd),Lifetime fit free_standard: S(2nd),Intensity texture_standard: intensity_sum,image_name,cell_type
Tcell_Act_filtered_43,1362.960267643564,488.2584333087369,11.7642070013094,1.1076678921896286,426.3810387493002,3875.225408767483,76.17106153946436,1295.336709569467,0.6008552216993115,0.3819169993687448,2.0232487329794195,3.1395489780469843,0.4059930306129369,0.3326598383536034,26318,Tcell_Act_filtered,Act
Tcell_Act_filtered_44,950.5940913986148,439.23009110900426,12.417795090993986,1.1325178320100495,299.12460743759704,4121.617730381145,76.06464497041183,1320.6226461344615,0.5654687532840816,0.3890115186638997,2.189797606162004,3.372822934050955,0.3800599618056598,0.3160137534214772,19500,Tcell_Act_filtered,Act
Tcell_Act_filtered_45,2312.549027218065,525.3595512373174,18.941766948224053,1.2625154862950896,644.2578705287259,4110.67322515637,78.2110265293389,1306.5625964875248,0.5967222291393285,0.3761136192125213,2.006305069217686,3.1988056324852394,0.4125137268236484,0.3288810149295043,43659,Tcell_Act_filtered,Act
Tcell_Act_filtered_46,5222.212924638571,482.390042022496,25.76269430034251,1.9336432512851252,1126.5726477829376,3990.696579089274,82.25530481488212,1104.92834318456,0.6348299050589876,0.3556719065409637,1.7833735176559826,3.000453658540357,0.4538664938413937,0.3180580496387072,78157,Tcell_Act_filtered,Act
Tcell_Act_filtered_47,6439.779253020222,601.9461840329167,47.46204460616977,2.0807454094369087,1866.849270676787,4436.12258652581,77.5257884067998,1463.6471015857207,0.5787038775119865,0.3839927611207567,2.112111164923306,3.297526516621968,0.3938706011835984,0.3236766644426461,134103,Tcell_Act_filtered,Act
Tcell_Act_filtered_48,8881.535849248048,539.2659426139895,40.662084533556175,3.0998034601433875,1588.4498293742413,4535.612832036702,84.82853866154227,1145.570165893414,0.6299848906500464,0.3495113061123211,1.7659614654212623,3.0641143024409767,0.4634097074117361,0.3055054108000634,132289,Tcell_Act_filtered,Act
Tcell_Act_filtered_49,840.9374300092336,387.0549486618155,13.05107606831576,1.1640577539789605,252.3620333762102,3908.062792931024,76.91739163625294,1199.79539981129,0.5743874625087481,0.3853638313178261,2.135581385261496,3.323536856092252,0.3939370956652682,0.3103815591199648,16211,Tcell_Act_filtered,Act
Tcell_Act_filtered_50,1829.0855244789443,485.6688303360361,28.71244263290944,1.3459321393776749,650.0017387325473,4237.802122069312,73.78060270897791,1469.4555649842882,0.5443778924905672,0.390037897443678,2.280638513343256,3.5298966039637625,0.3570245797857727,0.3289381457717792,43112,Tcell_Act_filtered,Act
Tcell_Act_filtered_51,2555.068621863864,432.5063196900048,23.2006911401442,1.2329396847269611,638.0505641330813,4051.58193408982,80.01795338767252,1155.6716958947532,0.5908576725980527,0.3685285862062935,1.9853561656395624,3.280553406152116,0.4135817963173718,0.3085465329628407,42935,Tcell_Act_filtered,Act
Tcell_Act_filtered_52,2615.083358622493,577.7706868542775,25.553844221589163,1.2061266782899056,924.2248824121992,4157.056071054683,73.88684964771511,1512.4348607678878,0.5729244660297564,0.393922239463899,2.18858419641142,3.290478603671953,0.3825457958356927,0.336480159563685,60025,Tcell_Act_filtered,Act
Tcell_Act_filtered_53,2664.331167904118,514.2680314805684,24.46238514997541,1.3674616166708606,824.8417792738801,3946.869571358971,76.35996289776917,1325.73630907957,0.5975404844888268,0.3820624416681989,2.035247074958309,3.1638905384131766,0.4026068215611488,0.3327780632737592,52656,Tcell_Act_filtered,Act
Tcell_Act_filtered_54,4440.722568386253,524.4630388704388,34.08166393642053,1.6086072311877997,1245.129793916046,4002.7022579492177,78.10126407482252,1286.153460302456,0.6079523529719448,0.3758036153830867,1.9676214008430293,3.11485615529395,0.4174070194780568,0.3314110677543538,82398,Tcell_Act_filtered,Act
Tcell_Act_filtered_55,631.1595062337177,428.1335212862523,10.91082226187148,1.3065855841270857,256.4186366112617,3879.070352661475,71.11030294309009,1425.0987174958805,0.5619383023499205,0.4060891309247224,2.3002914110779185,3.308544517852082,0.3531617578656165,0.3271130973220052,15208,Tcell_Act_filtered,Act
Tcell_Act_filtered_56,1112.8148863872311,455.0776681170495,12.710497209731152,1.3869352523825669,404.74397813681975,4092.806727197064,73.32927324280374,1425.2864456314064,0.5614599503082967,0.4003740438034346,2.269850525296356,3.3428408601814974,0.3642384887861413,0.322311946443239,24781,Tcell_Act_filtered,Act
Tcell_Act_filtered_57,1692.6450969982752,522.5588718748007,17.183111790230534,1.2335595895907117,475.81721218433705,4079.532189800501,78.0573907063345,1303.0516297071667,0.600570159633331,0.3757820142732366,1.9916928650977053,3.1710472977456954,0.4165014971712749,0.33007352453166,32608,Tcell_Act_filtered,Act
Tcell_Act_filtered_58,8835.784951627833,591.8805639977159,52.58894599276248,2.9705426664648256,2236.5890281742027,4470.541839474851,79.800275602557,1375.3594519544447,0.5912970012328878,0.3740304852588532,2.013499154295925,3.250459505302282,0.4122207826460298,0.3202004367939093,166952,Tcell_Act_filtered,Act
Tcell_Act_filtered_59,3018.755024148822,554.6588607097602,31.98611087835574,1.3192156681243423,874.4542296009511,4171.013760275686,77.53898717982565,1366.9287983242666,0.5918934542599915,0.3788162101714726,2.037206931017871,3.2225619056180226,0.4015058332617617,0.3285523512759294,61199,Tcell_Act_filtered,Act
Tcell_Act_filtered_60,2228.773799776366,544.1718429879537,22.80117092058054,1.3304449521480353,769.0872814854886,4042.355940007196,74.3454662961979,1441.6146611788006,0.5802708184106999,0.3902432133545914,2.140694808109038,3.25388861200164,0.3843085903001383,0.3342631750332492,49010,Tcell_Act_filtered,Act
Tcell_Act_filtered_61,9984.255283635764,553.82228521579,62.18736569970621,4.119299444292144,2120.714666929859,4827.511817889896,82.48062840642768,1302.545835200571,0.5790721762398517,0.3647461054136758,2.0049709874528405,3.3912928754906875,0.4178633018334437,0.2996368937978241,174202,Tcell_Act_filtered,Act
Tcell_Act_filtered_62,4188.214699351255,589.8271527313487,35.66660932959151,1.5304281220286058,1289.1803949223424,4221.308969683955,76.46362234723345,1444.5464275608626,0.5847079615987758,0.3842922049505365,2.0920530598668585,3.250245203202609,0.3961486665216711,0.3312315860807102,88413,Tcell_Act_filtered,Act
